ID,GEN,ARS,LAN,area,DH_demand,total_demand_cells,total_demand_area,share_DH,heat_density_DH,heat_density,DH_supplied_households
Limbach-Oberfrohna_145245114_c3,Limbach-Oberfrohna,145245114,Sachsen,3.125,9948.171330301982,23018.94602203369,101562.0703125,11.262951161237597,3.183414825696634,32.4998625,1935.0
Meerane-Schönberg_145245118_c0,Meerane-Schönberg,145245118,Sachsen,1.605,7611.40202445136,19763.94098740816,69113.7734375,12.663114867405945,4.742306557290568,43.06154108255452,1977.0
Rund um den Auersberg_145245128_c0,Rund um den Auersberg,145245128,Sachsen,0.065,214.63972703471623,692.6331787109375,2194.891845703125,11.244430701558484,3.302149646687942,33.76756685697115,12.0
Rund um den Auersberg_145245128_c1,Rund um den Auersberg,145245128,Sachsen,1.585,9695.782350194784,17779.092629671097,56739.48046875,19.64888871777807,6.1172128392396115,35.79777947555205,1867.0
Waldenburg_145245135_c0,Waldenburg,145245135,Sachsen,0.345,435.00955743520643,2068.1667098999023,8975.595703125,5.5728327167843235,1.2608972679281345,26.016219429347824,37.0
Waldenburg_145245135_c1,Waldenburg,145245135,Sachsen,0.01,204.79167915785828,385.81782150268555,758.7243041992188,31.036218511891256,20.47916791578583,75.87243041992187,20.0
Dresden_146120000_c0,Dresden,146120000,Sachsen,102.965,907332.6697538975,1551524.2070739865,3064862.5,34.04050882246058,8.812049431883626,29.766061282960234,153406.0
Dresden_146120000_c2,Dresden,146120000,Sachsen,0.68,378.5742859079578,1804.147001028061,7940.36279296875,5.482154314437323,0.5567268910411145,11.677004107306987,79.0
Dresden_146120000_c5,Dresden,146120000,Sachsen,0.405,710.5135247348197,4418.77400636673,12743.7412109375,6.410854134936811,1.7543543820612835,31.466027681327166,89.0
Dresden_146120000_c6,Dresden,146120000,Sachsen,0.27,371.563648652783,1385.2311506271362,5887.2197265625,7.2571059518407255,1.3761616616769743,21.804517505787043,90.0
Dresden_146120000_c7,Dresden,146120000,Sachsen,4.06,15472.445072530472,31349.021981477737,94740.9375,18.77853732215729,3.810947062199624,23.33520628078818,4225.0
Dresden_146120000_c8,Dresden,146120000,Sachsen,0.415,435.615339652483,1579.9702639579773,8748.7333984375,5.725302950938825,1.0496755172348988,21.08128529743976,62.0
Dresden_146120000_c9,Dresden,146120000,Sachsen,1.055,886.1867290165268,4426.8750504255295,20051.076171875,5.081922587022028,0.8399874208687458,19.005759404620854,98.0
Arnsdorf_146250010_c0,Arnsdorf,146250010,Sachsen,0.1,296.52048756066927,996.2523651123047,2279.04931640625,14.960340302286204,2.965204875606693,22.790493164062504,28.0
Bautzen_146250020_c0,Bautzen,146250020,Sachsen,0.075,311.92089490484295,1529.5529062747955,3511.9287109375,10.212669241649806,4.158945265397906,46.82571614583333,32.0
Bautzen_146250020_c1,Bautzen,146250020,Sachsen,5.67,52482.774557664685,100918.719227314,227573.6875,26.517661939219373,9.256221262374725,40.13645282186949,8016.0
Bautzen_146250020_c2,Bautzen,146250020,Sachsen,0.035,190.29630924338807,564.707160949707,1021.6273193359375,21.41797253906961,5.437037406953946,29.189351981026793,28.0
Bautzen_146250020_c3,Bautzen,146250020,Sachsen,0.055,414.860531557615,1707.4010925292969,2257.386474609375,21.131809690154466,7.542918755593,41.04339044744318,40.0
Bernsdorf_146250030_c1,Bernsdorf,146250030,Sachsen,1.245,2266.040616529432,4335.460823297501,15602.267578125,16.700153311649437,1.8201129450035602,12.53194182981928,564.0
Cunewalde_146250090_c0,Cunewalde,146250090,Sachsen,0.05,1460.3597480875849,1892.6139602661133,2575.58154296875,65.19661378883625,29.2071949617517,51.51163085937501,533.0
Cunewalde_146250090_c1,Cunewalde,146250090,Sachsen,0.14,316.53155145440866,1023.7090835571289,3407.35791015625,10.681684394209059,2.2609396532457766,24.33827078683036,15.0
Demitz-Thumitz_146250100_c0,Demitz-Thumitz,146250100,Sachsen,0.29,749.8032355187657,2002.234519958496,7294.68701171875,11.819011016545494,2.5855283983405717,25.154093143857757,52.0
Doberschau-Gaußig_146250110_c0,Doberschau-Gaußig,146250110,Sachsen,0.04,269.66868495096037,1619.4645344018936,5036.60498046875,6.156489125100001,6.741717123774009,125.91512451171874,22.0
Elsterheide_146250120_c0,Elsterheide,146250120,Sachsen,0.04,203.59224734056306,518.4908599853516,1799.03759765625,13.012522295565626,5.089806183514076,44.97593994140625,11.0
Elstra_146250130_c0,Elstra,146250130,Sachsen,0.155,560.706948398001,1363.118766784668,5987.53955078125,10.767826092461986,3.6174641832129097,38.62928742439516,86.0
Göda_146250150_c0,Göda,146250150,Sachsen,0.02,247.73368718193285,479.0455627441406,1571.8468017578125,18.1223845111781,12.386684359096643,78.59234008789062,52.0
Großdubrau_146250160_c0,Großdubrau,146250160,Sachsen,0.12,908.2012709997603,1354.3834342956543,3792.051513671875,27.539012734330598,7.568343924998002,31.60042928059896,254.0
